1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,GarageFinish_None,GarageFinish_RFn,GarageFinish_Unf
1132,1320.0,4.0,3,0,1,1117,691,2004.0,2452,4,13418,108.0,132.0,32,5,8,1117,2004,2005,True,False,False
1097,0.0,3.0,1,0,1,1097,672,1995.0,1097,3,10859,112.0,0.0,64,5,5,1097,1994,1995,False,False,True
1297,0.0,3.0,1,1213,3,84,498,1954.0,1297,3,8532,74.0,650.0,0,6,5,1297,1954,1990,False,False,False
1057,0.0,3.0,1,731,6,326,246,1953.0,1057,4,7922,68.0,0.0,52,7,5,1057,1953,2007,False,False,True
1152,0.0,3.0,0,0,0,0,0,0.0,1152,2,6040,65.0,0.0,0,5,4,0,1955,1955,True,False,False
1324,0.0,3.0,1,643,3,445,440,1965.0,1324,3,8658,84.0,101.0,138,5,6,1088,1965,1965,True,False,False
1328,0.0,2.0,4,967,4,383,308,1959.0,1328,3,16905,115.0,0.0,104,6,5,1350,1959,1959,True,False,False
884,0.0,2.0,3,747,5,0,504,1983.0,884,4,9180,69.0,0.0,0,7,5,840,1983,1983,False,True,False
938,0.0,3.0,3,280,2,167,308,1977.0,938,3,9200,69.0,0.0,0,6,5,938,1975,1980,False,False,True
1150,0.0,3.0,1,179,5,465,300,1959.0,1150,3,7945,70.0,0.0,0,6,5,1150,1959,1959,False,True,False
1752,0.0,2.0,1,456,6,1296,576,2005.0,1752,5,7658,61.0,412.0,82,5,9,1752,2005,2005,False,True,False
1518,631.0,1.0,1,1351,6,83,670,2003.0,2149,4,12822,48.0,0.0,43,5,7,1434,2003,2003,False,True,False
1656,0.0,3.0,3,24,6,1632,826,2006.0,1656,4,11096,84.0,0.0,146,5,8,1656,2006,2006,True,False,False
736,716.0,2.0,1,0,1,736,0,0.0,1452,3,4456,33.0,0.0,0,5,4,736,1920,2008,True,False,False
955,0.0,3.0,1,763,4,192,386,1966.0,955,3,7742,66.0,0.0,0,7,5,955,1966,1966,False,False,True
794,676.0,3.0,3,182,6,612,388,1997.0,1470,3,13869,69.0,0.0,75,6,6,794,1997,1997,False,False,False
816,0.0,3.0,1,0,1,816,528,1985.0,1176,3,6240,52.0,0.0,0,6,6,816,1934,1950,False,False,True
816,0.0,2.0,4,104,2,0,516,1963.0,816,3,8472,110.0,0.0,0,5,5,816,1963,1963,False,False,True
1842,0.0,0.0,4,1810,6,32,894,1981.0,1842,4,50271,68.0,0.0,72,5,9,1842,1981,1987,False,False,False
1360,0.0,3.0,1,384,5,0,572,1962.0,1360,3,7134,60.0,0.0,50,5,5,384,1955,1955,False,False,True
1425,0.0,3.0,1,490,0,935,576,1964.0,1425,3,10175,100.0,272.0,0,5,6,1425,1964,1964,False,True,False
983,756.0,3.0,1,649,6,321,480,1999.0,1739,4,2645,24.0,456.0,0,5,8,970,1999,2000,False,False,False
860,0.0,3.0,1,0,1,860,565,2004.0,1720,4,11645,89.0,0.0,70,5,7,860,2004,2004,False,True,False
1426,1519.0,3.0,4,0,1,1410,641,2006.0,2945,4,13682,66.0,1031.0,0,5,10,1410,2006,2006,False,False,False
780,0.0,2.0,3,632,5,148,352,1973.0,780,3,7200,60.0,0.0,0,7,5,780,1972,1972,False,False,True
1158,0.0,3.0,1,941,5,217,576,2006.0,1158,4,13072,63.0,0.0,50,5,6,1158,2004,2004,False,False,True
581,530.0,3.0,1,0,1,530,288,1935.0,1111,2,7200,60.0,0.0,0,7,5,530,1920,1996,False,False,True
1370,0.0,2.0,2,24,6,1346,484,2006.0,1370,4,6442,44.0,178.0,49,5,8,1370,2006,2006,False,True,False
902,808.0,3.0,1,0,1,576,480,1990.0,1710,3,10300,50.0,0.0,11,6,7,576,1921,1950,False,False,True
1057,977.0,3.0,1,739,6,318,645,1998.0,2034,4,9375,69.0,573.0,36,5,7,1057,1997,1998,False,True,False
1143,1330.0,4.0,3,0,1,1143,852,2004.0,2473,4,9591,76.0,344.0,151,5,8,1143,2004,2005,True,False,False
2207,0.0,3.0,4,912,6,1035,576,1970.0,2207,3,19900,69.0,287.0,0,5,7,1947,1970,1989,False,True,False
1479,0.0,3.0,3,1013,6,440,558,2003.0,1479,4,10665,72.0,167.0,29,5,7,1453,2003,2003,False,True,False
747,0.0,2.0,1,0,1,747,220,1945.0,747,3,4608,47.0,0.0,0,6,4,747,1945,1950,False,False,True
1304,983.0,3.0,1,603,4,701,667,1953.0,2287,3,15593,81.0,0.0,21,4,7,1304,1953,1953,False,False,False
2223,0.0,3.0,4,1880,5,343,516,1973.0,2223,3,13651,95.0,1115.0,0,6,7,2223,1973,1973,False,False,False
845,0.0,2.0,1,565,5,280,360,1987.0,845,3,7599,69.0,0.0,0,6,4,845,1982,2006,False,False,True
885,833.0,3.0,1,0,1,832,427,1998.0,1718,3,10141,74.0,40.0,94,5,7,832,1998,1998,False,False,False
1086,0.0,3.0,1,320,5,404,490,1989.0,1086,3,10200,85.0,104.0,0,7,5,1086,1954,2003,False,False,True
840,765.0,3.0,1,0,1,840,379,1915.0,1605,3,5790,60.0,0.0,0,6,3,840,1915,1950,False,False,True
526,462.0,2.0,4,462,6,0,297,1973.0,988,3,1596,21.0,0.0,101,5,4,462,1973,1973,False,False,True
952,0.0,2.0,1,228,5,724,283,1956.0,952,3,8475,69.0,0.0,0,7,4,952,1956,1956,False,False,True
1072,213.0,2.0,1,336,4,295,240,1948.0,1285,3,8635,50.0,0.0,0,5,5,672,1948,2001,False,False,True
1768,0.0,4.0,1,0,1,1768,0,0.0,1768,3,10778,72.0,0.0,0,5,4,1768,1968,1968,True,False,False
682,548.0,2.0,1,0,1,440,440,1966.0,1230,3,10440,60.0,0.0,0,6,5,440,1910,1981,False,False,True
1182,960.0,3.0,1,448,3,448,509,1968.0,2142,4,13000,100.0,576.0,72,6,6,896,1968,1968,False,False,False
1337,0.0,2.0,1,1201,6,36,405,1998.0,1337,3,4500,32.0,443.0,199,5,6,1237,1998,1998,False,False,False
1563,0.0,3.0,1,33,6,1530,758,2007.0,1563,4,10206,78.0,468.0,99,5,8,1563,2007,2007,False,True,False
1065,0.0,3.0,1,0,1,1065,461,1974.0,1065,3,8892,80.0,66.0,0,5,5,1065,1960,1960,False,False,True
804,670.0,3.0,1,0,1,384,400,1995.0,1474,3,8530,69.0,22.0,72,5,7,384,1995,1996,False,False,False
1301,1116.0,4.0,1,0,1,1288,462,1991.0,2417,4,16059,121.0,284.0,82,5,8,1288,1991,1992,False,False,True
684,876.0,3.0,3,0,1,684,400,2005.0,1560,4,11911,122.0,0.0,38,5,6,684,2005,2005,False,False,False
612,612.0,3.0,3,0,1,612,528,2009.0,1224,4,3951,40.0,76.0,234,5,6,612,2009,2009,False,True,False
1013,0.0,2.0,1,0,1,1013,0,0.0,1526,2,8470,105.0,0.0,0,2,3,1013,1915,1982,True,False,False
990,0.0,3.0,1,588,0,402,0,0.0,990,3,8070,60.0,0.0,0,5,4,990,1994,1995,True,False,False
1040,0.0,2.0,0,0,0,0,420,1950.0,1040,3,7200,60.0,0.0,29,5,4,0,1950,1950,False,False,True
1235,0.0,2.0,1,600,3,635,480,1961.0,1235,3,8500,85.0,203.0,0,3,5,1235,1961,1961,False,False,True
964,0.0,2.0,1,713,5,163,432,1921.0,964,3,13360,80.0,0.0,0,7,5,876,1921,2006,False,False,True
1260,1031.0,4.0,2,1046,3,168,506,1900.0,2291,3,7200,60.0,0.0,0,6,6,1214,1910,1998,False,False,True
905,881.0,3.0,1,648,6,176,684,1997.0,1786,4,9337,69.0,0.0,162,5,6,824,1997,1997,False,True,False
680,790.0,3.0,1,310,0,370,420,1993.0,1470,3,9765,69.0,68.0,63,8,6,680,1993,1993,False,False,False
1588,0.0,3.0,3,1162,5,426,472,1999.0,1588,4,10264,78.0,183.0,29,5,7,1588,1999,1999,False,True,False
960,0.0,3.0,1,520,3,440,432,1965.0,960,3,10921,73.0,48.0,0,5,4,960,1965,1965,False,False,False
835,0.0,2.0,1,108,5,350,366,1920.0,835,3,10625,85.0,0.0,0,5,5,458,1920,1950,False,False,True
1225,0.0,3.0,1,569,5,381,0,0.0,1225,3,9320,77.0,0.0,0,5,4,950,1959,1959,True,False,False
1610,0.0,3.0,2,1200,5,410,480,1977.0,1610,4,10603,69.0,28.0,68,7,6,1610,1977,2001,False,True,False
977,755.0,3.0,1,0,0,741,476,1985.0,1732,4,9206,77.0,336.0,46,5,6,741,1985,1985,False,False,False
1535,0.0,4.0,0,0,0,0,410,1979.0,1535,3,7018,64.0,0.0,0,5,5,0,1979,1979,False,False,True
1226,0.0,3.0,1,0,1,1226,740,2009.0,1226,4,10402,94.0,0.0,36,5,7,1226,2009,2009,False,True,False
1226,592.0,4.0,1,224,2,816,240,1951.0,1818,3,7758,69.0,600.0,0,4,7,1040,1931,1950,True,False,False
1053,0.0,3.0,1,0,1,1053,648,2003.0,1992,4,9375,75.0,768.0,45,5,8,1053,2003,2004,False,True,False
1047,0.0,2.0,1,0,1,641,273,1954.0,1047,3,10800,60.0,0.0,0,7,4,641,1885,1995,False,False,True
789,0.0,2.0,1,104,5,516,250,1948.0,789,3,6000,50.0,0.0,0,5,5,789,1948,1950,False,False,True
997,0.0,3.0,1,0,1,793,0,0.0,1517,2,8500,85.0,0.0,0,7,5,793,1919,2005,True,False,False
1844,0.0,3.0,1,705,4,1139,546,1977.0,1844,3,11751,105.0,480.0,122,6,6,1844,1977,1977,False,True,False
1216,639.0,4.0,1,444,3,550,325,1954.0,1855,3,9525,75.0,0.0,0,4,6,994,1954,1972,False,False,True
774,656.0,3.0,1,250,6,134,400,2000.0,1430,3,7750,69.0,0.0,0,5,7,384,2000,2000,False,False,False
1282,1414.0,4.0,3,984,6,280,792,2007.0,2696,5,9965,77.0,220.0,184,5,7,1264,2007,2007,True,False,False
2259,0.0,3.0,2,35,0,905,450,1953.0,2259,4,21000,69.0,184.0,120,5,6,1809,1953,1953,False,False,True
1436,884.0,3.0,1,774,5,104,180,1945.0,2320,4,7259,61.0,0.0,0,8,6,1028,1945,2002,False,False,True
729,729.0,2.0,1,419,6,310,440,1999.0,1458,3,3230,34.0,1129.0,32,5,6,729,1999,1999,False,False,True
1092,0.0,3.0,1,170,2,252,288,1962.0,1092,3,11616,69.0,116.0,20,5,5,1092,1962,1962,False,False,True
1125,0.0,2.0,1,0,1,1125,430,2007.0,1125,3,8536,74.0,0.0,64,5,5,1125,2006,2007,False,False,True
1699,1523.0,5.0,2,1470,6,203,594,1990.0,3222,4,12376,90.0,0.0,0,5,7,1673,1990,1990,False,False,True
728,728.0,3.0,1,0,1,728,390,2005.0,1456,4,8461,65.0,0.0,24,5,6,728,2005,2006,False,False,False
988,0.0,1.0,4,938,5,0,540,1969.0,988,3,21453,69.0,0.0,130,5,6,938,1969,1969,False,False,True
772,351.0,3.0,1,0,1,732,264,1979.0,1123,3,6060,50.0,0.0,0,5,4,732,1939,1950,False,False,True
1080,0.0,3.0,1,570,4,510,288,1958.0,1080,3,9464,75.0,135.0,0,7,6,1080,1958,1958,False,False,True
1199,0.0,2.0,1,300,6,899,530,1993.0,1199,4,7892,55.0,0.0,63,5,6,1199,1993,1993,False,True,False
1586,0.0,3.0,1,0,0,1362,435,1979.0,1586,3,17043,48.0,0.0,0,5,6,1362,1979,1998,False,False,True
520,0.0,2.0,3,490,6,30,0,0.0,754,3,6780,60.0,0.0,0,8,6,520,1935,1982,True,False,False
958,0.0,2.0,1,120,5,958,440,1977.0,958,3,4928,69.0,0.0,205,5,6,1078,1976,1976,False,True,False
840,0.0,3.0,1,116,2,556,0,0.0,840,3,4388,55.0,0.0,0,7,5,672,1930,1950,True,False,False
660,688.0,3.0,1,512,4,148,453,1966.0,1348,3,7590,69.0,266.0,108,5,6,660,1966,1966,False,True,False
1053,0.0,3.0,1,567,3,413,750,1998.0,1053,5,8973,69.0,85.0,80,7,5,1008,1958,1991,False,True,False
1216,941.0,4.0,1,445,3,479,487,1966.0,2157,4,14200,88.0,309.0,66,6,7,924,1966,1966,True,False,False
1022,1032.0,3.0,1,695,6,297,390,2000.0,2054,4,12224,69.0,40.0,48,5,6,992,2000,2000,False,True,False
1327,0.0,3.0,1,405,3,658,624,1974.0,1327,4,7388,75.0,0.0,0,6,5,1063,1959,2002,False,False,True
1296,0.0,2.0,1,1005,6,262,471,2001.0,1296,4,6853,69.0,136.0,25,5,8,1267,2001,2002,False,False,False
1721,0.0,3.0,1,570,3,891,440,1968.0,1721,3,10335,78.0,0.0,96,6,5,1461,1968,1993,False,True,False
1682,0.0,3.0,1,0,1,1304,530,1970.0,1682,3,10400,80.0,288.0,0,6,7,1304,1970,1970,False,False,True
1214,0.0,3.0,1,695,4,519,318,1967.0,1214,3,10355,69.0,196.0,111,5,5,1214,1967,1967,False,True,False
1959,0.0,5.0,1,0,1,1907,766,1989.0,1959,3,11070,82.0,70.0,0,5,7,1907,1988,1989,False,False,True
1004,848.0,3.0,2,668,6,336,660,1999.0,1852,4,9066,73.0,320.0,106,5,8,1004,1999,2000,False,False,False
928,836.0,3.0,1,821,6,107,470,1997.0,1764,4,15426,65.0,0.0,99,5,6,928,1997,1997,False,True,False
864,0.0,3.0,1,432,5,432,0,0.0,864,3,10500,70.0,0.0,0,5,4,864,1971,1971,True,False,False
1734,0.0,3.0,3,1300,6,434,660,2005.0,1734,4,11645,78.0,0.0,24,5,7,1734,2005,2005,True,False,False
910,0.0,4.0,1,507,3,403,720,2000.0,1385,3,8520,71.0,0.0,0,4,5,910,1952,1952,False,False,True
1501,0.0,3.0,4,679,6,811,577,1999.0,1501,4,10335,78.0,183.0,29,5,7,1490,1999,1999,False,True,False
1728,0.0,6.0,1,1332,3,396,504,1963.0,1728,3,9100,70.0,336.0,0,5,5,1728,1963,1963,False,False,True
970,739.0,3.0,1,0,1,970,380,2004.0,1709,4,2522,24.0,50.0,40,5,6,970,2004,2006,False,False,True
875,0.0,2.0,1,209,4,506,180,1931.0,875,3,6120,51.0,0.0,0,7,5,715,1931,1993,False,False,True
884,1151.0,3.0,1,0,1,884,434,2001.0,2035,4,9505,69.0,180.0,48,5,7,884,2001,2001,False,False,False
1080,0.0,3.0,1,680,6,400,0,0.0,1080,4,7500,63.0,120.0,0,5,7,1080,2004,2005,True,False,False
896,448.0,3.0,1,0,1,896,240,1936.0,1344,3,6240,69.0,0.0,114,4,5,896,1936,1950,True,False,False
969,0.0,3.0,3,716,4,253,440,1975.0,969,3,10356,120.0,0.0,0,6,5,969,1975,1975,False,False,True
1710,0.0,2.0,4,1400,0,310,866,2007.0,1710,4,13891,107.0,436.0,102,5,8,1710,2007,2008,False,True,False
1097,896.0,4.0,1,416,3,409,495,1971.0,1993,3,14803,69.0,252.0,66,5,6,825,1971,1971,False,True,False
1252,0.0,1.0,4,429,4,93,564,1960.0,1252,3,13500,69.0,0.0,0,7,6,1602,1960,1975,False,True,False
1200,0.0,4.0,1,0,1,1200,312,1923.0,1200,3,11340,84.0,0.0,0,5,6,1200,1923,1950,False,False,True
572,524.0,2.0,1,0,1,572,0,0.0,1096,3,9600,60.0,0.0,8,5,6,572,1924,1950,True,False,False
1040,0.0,2.0,0,0,0,0,625,1950.0,1040,3,7200,60.0,0.0,0,7,5,0,1950,1950,False,False,True
774,1194.0,4.0,1,0,0,774,680,2009.0,1968,5,12003,92.0,84.0,75,5,8,774,2009,2010,False,False,False
991,956.0,3.0,1,222,6,769,678,2004.0,1947,4,12552,100.0,0.0,136,5,7,991,2004,2005,False,True,False
1392,1070.0,4.0,2,57,6,1335,576,2006.0,2462,4,19378,134.0,456.0,132,5,7,1392,2005,2006,False,True,False
1232,0.0,3.0,1,660,4,572,516,1984.0,1232,3,11120,69.0,0.0,0,6,6,1232,1984,1984,False,False,True
1572,1096.0,3.0,3,1016,6,556,726,2003.0,2668,5,13688,110.0,664.0,0,5,9,1572,2003,2004,False,False,False
1541,0.0,3.0,2,1201,0,340,532,2005.0,1541,4,12182,95.0,226.0,70,5,7,1541,2005,2005,True,False,False
882,0.0,1.0,1,0,1,882,0,0.0,882,3,5500,55.0,0.0,0,6,4,882,1956,1956,True,False,False
1149,467.0,3.0,2,370,2,779,216,1926.0,1616,4,5400,40.0,0.0,0,7,6,1149,1926,2004,False,False,True
808,547.0,4.0,1,351,5,112,0,0.0,1355,3,10106,62.0,0.0,0,7,5,644,1940,1999,True,False,False
1867,0.0,2.0,1,379,2,470,303,1955.0,1867,3,10708,69.0,0.0,0,5,5,1617,1955,1993,False,False,False
1610,551.0,3.0,1,1288,6,294,789,2007.0,2161,5,10562,86.0,300.0,120,5,8,1582,2007,2007,False,False,False
840,880.0,3.0,1,0,1,840,440,2004.0,1720,4,8244,62.0,0.0,48,5,7,840,2004,2004,False,False,False
1707,0.0,2.0,1,0,1,1686,511,1981.0,1707,3,16669,69.0,653.0,64,6,8,1686,1981,1981,False,True,False
854,0.0,2.0,1,360,3,360,660,1991.0,1382,3,12358,69.0,0.0,0,6,5,720,1941,1950,True,False,False
1656,0.0,3.0,4,639,4,441,528,1960.0,1656,3,31770,141.0,112.0,62,5,6,1080,1960,1960,False,False,False
1064,703.0,2.0,1,495,6,354,504,1987.0,1767,4,5306,44.0,0.0,35,7,7,1064,1987,1987,False,True,False
1362,0.0,3.0,1,288,5,700,504,1961.0,1362,3,10197,80.0,491.0,20,5,6,1362,1961,1961,True,False,False
1651,0.0,3.0,1,1398,5,0,616,1986.0,1651,3,12416,47.0,132.0,0,5,6,1606,1986,1986,False,False,False
2158,0.0,4.0,3,477,5,725,576,1950.0,2158,4,12615,84.0,0.0,29,7,6,1202,1950,2001,False,False,True
1164,896.0,4.0,1,831,6,320,521,1988.0,2060,3,10029,97.0,268.0,228,5,6,1151,1988,1989,True,False,False
1252,668.0,4.0,1,57,5,554,451,1958.0,1920,4,13650,69.0,0.0,0,5,5,1052,1958,1958,False,False,True
2234,0.0,1.0,1,1904,6,312,1166,2009.0,2234,5,17423,63.0,748.0,60,5,9,2216,2008,2009,False,False,False
968,0.0,2.0,1,0,1,968,480,1935.0,968,3,8520,60.0,0.0,0,6,5,968,1923,2006,False,False,True
769,756.0,3.0,1,436,6,320,440,2000.0,1525,4,2117,69.0,456.0,0,5,6,756,2000,2000,False,False,True
901,901.0,4.0,1,352,2,441,216,1920.0,1802,3,7588,54.0,0.0,0,6,7,793,1920,1950,False,False,True
1340,0.0,3.0,0,0,0,0,252,1957.0,1340,3,9060,60.0,98.0,0,6,5,0,1957,2006,True,False,False
1362,720.0,3.0,1,0,1,1362,484,2003.0,2082,4,11426,63.0,0.0,238,5,7,1362,2003,2003,False,False,True
936,316.0,3.0,1,0,1,504,576,1986.0,1252,3,7438,92.0,0.0,0,8,5,504,1908,1991,False,False,True
1518,1518.0,4.0,2,0,1,1107,840,1993.0,3608,5,22950,90.0,0.0,260,9,10,1107,1892,1993,False,False,True
1217,0.0,3.0,3,611,6,577,497,1990.0,1217,4,9947,69.0,0.0,27,5,7,1188,1990,1991,False,False,True
808,704.0,3.0,1,0,1,660,180,1916.0,1656,3,10410,60.0,0.0,0,7,5,660,1916,1987,False,False,True
1224,0.0,2.0,3,1086,6,0,528,1979.0,1224,3,7018,64.0,275.0,0,5,5,1086,1979,1979,False,False,True
1593,0.0,0.0,3,1153,6,440,682,2001.0,1593,5,4923,41.0,0.0,120,5,8,1593,2001,2002,False,False,False
1549,1178.0,3.0,1,297,3,556,440,1932.0,2727,4,10570,70.0,0.0,74,8,8,853,1932,1994,False,False,True
725,754.0,4.0,1,626,5,99,484,1972.0,1479,4,7472,69.0,138.0,32,9,7,725,1972,2004,False,False,False
1431,0.0,3.0,3,560,6,871,666,1999.0,1431,4,9017,68.0,0.0,35,5,7,1431,1999,1999,False,False,False
970,739.0,3.0,1,0,1,970,380,2004.0,1709,4,2522,24.0,50.0,40,5,7,970,2004,2004,False,False,True
864,0.0,3.0,3,390,5,474,352,1989.0,864,3,7180,60.0,0.0,0,7,5,864,1972,1972,False,False,True
855,0.0,3.0,1,566,5,289,440,1976.0,1456,3,2280,24.0,0.0,0,6,6,855,1976,1976,True,False,False
1726,0.0,3.0,1,1126,0,600,786,2007.0,1726,5,9416,79.0,205.0,138,5,7,1726,2007,2007,True,False,False
1360,1360.0,3.0,1,1036,0,140,795,1918.0,3112,4,25419,174.0,0.0,16,4,8,1360,1918,1990,False,False,True
929,929.0,5.0,1,0,1,755,0,0.0,2229,3,5520,92.0,0.0,198,6,6,755,1912,1950,True,False,False
1713,0.0,3.0,3,1088,6,625,856,2004.0,1713,5,9591,76.0,262.0,26,5,8,1713,2004,2005,False,False,False
1121,0.0,2.0,1,0,1,1121,440,2003.0,1121,3,8546,80.0,0.0,64,5,4,1121,2003,2004,False,True,False
1279,0.0,3.0,1,641,5,276,473,1980.0,1279,3,10125,75.0,0.0,83,6,6,1196,1977,1977,False,False,True
865,445.0,2.0,1,617,2,0,398,1924.0,1310,3,7000,50.0,0.0,0,6,6,617,1924,1950,False,False,True
848,0.0,1.0,3,662,6,186,420,2004.0,848,4,4438,69.0,205.0,0,5,6,848,2004,2004,False,True,False
720,564.0,2.0,1,312,2,408,240,1948.0,1284,3,3500,50.0,0.0,35,7,5,720,1947,1950,False,False,True
1442,0.0,3.0,1,0,1,1424,500,1990.0,1442,3,11851,99.0,0.0,34,5,7,1424,1990,1990,True,False,False
1696,0.0,3.0,1,0,1,1140,349,1962.0,1696,3,13673,40.0,0.0,30,5,5,1140,1962,1962,True,False,False
1100,0.0,3.0,1,419,5,375,312,1960.0,1100,3,12493,69.0,0.0,0,5,4,1100,1960,1960,False,True,False
1180,0.0,3.0,4,1065,6,92,454,1988.0,2062,3,14364,69.0,128.0,55,5,7,1157,1988,1989,True,False,False
1092,0.0,3.0,1,787,3,305,504,1964.0,1092,3,8250,75.0,260.0,0,7,6,1092,1964,1964,False,True,False
864,0.0,2.0,1,468,3,396,0,0.0,864,3,5604,67.0,0.0,0,6,5,864,1925,1950,True,False,False
1212,0.0,3.0,2,36,6,1176,460,2009.0,1212,4,10420,83.0,0.0,22,5,6,1212,2009,2009,False,True,False
932,920.0,3.0,1,822,6,78,644,2009.0,1852,4,8640,72.0,0.0,108,5,7,900,2009,2009,False,True,False
990,0.0,3.0,1,716,5,274,576,1996.0,990,3,13568,43.0,0.0,0,5,5,990,1995,1995,False,False,True
689,703.0,3.0,1,378,6,311,299,1977.0,1392,3,10900,69.0,153.0,36,7,6,689,1977,1977,False,False,False
1236,0.0,2.0,1,360,4,710,447,1957.0,1236,4,10011,72.0,64.0,0,6,5,1070,1957,1996,False,False,True
1436,0.0,3.0,2,946,6,490,484,2004.0,1436,4,8450,65.0,266.0,98,5,7,1436,2004,2004,True,False,False
810,518.0,3.0,1,0,1,686,210,1940.0,1328,3,9906,57.0,0.0,172,4,4,686,1925,1950,False,False,True
